seed_id,observation_id,value
S000,O000,-0.365723188852
S000,O001,0.049663964377
S000,O002,1.204127163037
S000,O003,-0.753308119531
S000,O004,0.556964800665
S000,O005,0.470798840606
S000,O006,0.582769277468
S000,O007,1.138530919426
S000,O008,0.161628387078
S000,O009,-1.222603464835
S000,O010,0.168342340661
S000,O011,0.370070941310
S000,O012,-1.069972737033
S000,O013,1.583823596767
S000,O014,1.103203683865
S000,O015,1.752957075261
S000,O016,0.359018003265
S000,O017,-1.548069386610
S000,O018,-0.198758809146
S000,O019,1.491847341033
S000,O020,0.081132835322
S000,O021,1.421275219528
S000,O022,-0.416140150241
S000,O023,-0.247151976152
S000,O024,0.211461272595
S000,O025,0.031529173336
S000,O026,0.194622203300
S000,O027,1.363220980895
S000,O028,0.239111927913
S000,O029,0.586919078623
S000,O030,-1.160333442500
S000,O031,-1.193059410600
S000,O032,1.661725426242
S000,O033,0.376670909949
S000,O034,1.906812082631
S000,O035,0.462887522593
S000,O036,0.111486908213
S000,O037,-1.164068769440
S000,O038,-0.117281204996
S000,O039,-0.961198967765
S000,O040,1.517644807494
S000,O041,-0.658178036682
S000,O042,0.199934412131
S000,O043,-2.424307035231
S000,O044,0.661343671788
S000,O045,0.430265871656
S000,O046,0.904436004200
S000,O047,-0.696535519624
S000,O048,-0.270842825424
S000,O049,0.766170914363
S001,O000,-0.018862862308
S001,O001,0.480514882648
S001,O002,0.009752511190
S001,O003,-0.370575377269
S001,O004,0.476290569012
S001,O005,0.329994754543
S001,O006,1.239071166474
S001,O007,-2.776436989876
S001,O008,1.001381102535
S001,O009,0.752292626596
S001,O010,0.365064655438
S001,O011,1.619151739318
S001,O012,-0.832051453476
S001,O013,-0.231897153362
S001,O014,0.388926606703
S001,O015,-0.573578674106
S001,O016,-0.256882910831
S001,O017,-1.315436189807
S001,O018,0.734886978944
S001,O019,1.453569637692
S001,O020,-1.244918704624
S001,O021,-0.409612795264
S001,O022,0.793207179020
S001,O023,-1.047447030476
S001,O024,-0.423335521671
S001,O025,-1.793768198325
S001,O026,-0.064547152598
S001,O027,0.447163345465
S001,O028,-0.925279720177
S001,O029,-0.514518815104
S001,O030,0.501305375967
S001,O031,0.419837527588
S001,O032,-0.224848488773
S001,O033,1.882316728983
S001,O034,-0.346299942150
S001,O035,-0.110258522920
S001,O036,-0.881933872305
S001,O037,0.053601195321
S001,O038,-0.273074966149
S001,O039,1.737011543015
S001,O040,-0.715024110045
S001,O041,0.779136114157
S001,O042,-0.144934964521
S001,O043,0.053828763497
S001,O044,-0.144138618978
S001,O045,0.558375583383
S001,O046,-1.414370582326
S001,O047,0.655156570577
S001,O048,1.051772242540
S001,O049,-1.309125993018
S002,O000,0.038432666650
S002,O001,0.244682593138
S002,O002,0.804658573125
S002,O003,0.014134388555
S002,O004,0.712108122809
