seed_id,n,mean,sample_std
S000,50,0.193097290259,0.953505801344
S001,50,-0.011591004197,0.935216565599
S002,50,0.352376090183,0.860175459238
S003,50,0.459833172837,0.908091048795
S004,50,0.730364731634,1.217458031543
S005,50,0.514347174166,1.160794318494
S006,50,0.724208044440,0.973270114556
S007,50,0.702695416533,1.096645810118
S008,50,0.803202456797,1.123323869687
S009,50,1.127866989676,1.270484743887
S010,50,1.031194729903,1.064713103505
S011,50,1.124512420540,1.127438373883
S012,50,1.355155992950,1.194274895215
S013,50,1.196346700944,1.140123752298
S014,50,1.208834047542,1.417541400971
S015,50,1.771407890546,1.272157181573
S016,50,1.769047033681,1.299448891343
S017,50,1.755187359012,1.456603017733
S018,50,1.768680344591,1.403452756559
S019,50,1.860115012536,1.324036500062
