row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,0.016604514606
0,S000,sample_std,1.157133155137
1,S001,n,50
1,S001,mean,-0.033081488056
1,S001,sample_std,0.905120677814
2,S002,n,50
2,S002,mean,-0.064255820145
2,S002,sample_std,1.001046408737
3,S003,n,50
3,S003,mean,0.244310354935
3,S003,sample_std,0.990066714387
4,S004,n,50
4,S004,mean,0.186256739445
4,S004,sample_std,1.093315109547
5,S005,n,50
5,S005,mean,0.620693850540
5,S005,sample_std,1.180901637479
6,S006,n,50
6,S006,mean,0.444150687255
6,S006,sample_std,1.198748286664
7,S007,n,50
7,S007,mean,0.718240275673
7,S007,sample_std,1.238092233295
8,S008,n,50
8,S008,mean,1.075458316553
8,S008,sample_std,1.188297245651
9,S009,n,50
9,S009,mean,1.253906119481
9,S009,sample_std,1.141644611573
10,S010,n,50
10,S010,mean,1.097228033105
10,S010,sample_std,1.374098918117
11,S011,n,50
11,S011,mean,1.260086609893
11,S011,sample_std,1.057820558956
12,S012,n,50
12,S012,mean,1.000693252044
12,S012,sample_std,1.129652484315
13,S013,n,50
13,S013,mean,1.469508858653
13,S013,sample_std,1.222658434580
14,S014,n,50
14,S014,mean,1.332639042572
14,S014,sample_std,1.153981824635
15,S015,n,50
15,S015,mean,1.260342359727
15,S015,sample_std,1.167679193786
16,S016,n,50
16,S016,mean,1.295884057874
16,S016,sample_std,1.334423205830
17,S017,n,50
17,S017,mean,1.837116248532
17,S017,sample_std,1.384797994469
18,S018,n,50
18,S018,mean,1.908926817968
18,S018,sample_std,1.254338535443
19,S019,n,50
19,S019,mean,2.098557326026
19,S019,sample_std,1.771032537535
