configuration,seed,step,train_accuracy,train_cross_entropy,test_accuracy,centered_logit_rms,total_parameter_norm
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,0,0.06956521739130435,2.8315072059631348,0.06321839080459771,0.01858707144856453,9.534924576405057
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,20,1.0,0.21158629655838013,0.0,2.835723876953125,22.871554594915157
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,40,1.0,0.0024067035410553217,0.0,5.086094379425049,29.293428970011764
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,60,1.0,0.010334632359445095,0.0,3.762726306915283,26.62137321890409
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,80,1.0,0.01648523658514023,0.0,3.2016475200653076,25.147158447923832
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,100,1.0,0.008722185157239437,0.0,3.2638583183288574,25.433939560316627
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,120,1.0,0.00716694351285696,0.0,3.193761110305786,25.333114755089937
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,140,1.0,0.00543994503095746,0.0,3.2046639919281006,25.42025164384126
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,160,1.0,0.004185223951935768,0.0,3.233764886856079,25.545961832383068
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,180,1.0,0.003291470231488347,0.0,3.2706565856933594,25.68811370900854
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,200,1.0,0.002581273904070258,0.0,3.314723491668701,25.8540864249084
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,220,1.0,0.0020483266562223434,0.0,3.3648924827575684,26.020220750180755
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,240,1.0,0.0016327353660017252,0.0,3.418898820877075,26.191653097135667
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,260,1.0,0.0013068215921521187,0.0,3.4742889404296875,26.361293842501556
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,280,1.0,0.0010521116200834513,0.0,3.531398296356201,26.52796029261428
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,300,1.0,0.0008488482562825084,0.0,3.5913479328155518,26.69217974381829
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,320,1.0,0.0006870187353342772,0.0,3.652493715286255,26.85324824468186
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,340,1.0,0.0005586559418588877,0.0,3.711934804916382,27.011327230332377
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,360,1.0,0.00045467098243534565,0.0,3.772538900375366,27.170592691538005
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,380,1.0,0.00037030852399766445,0.0,3.8361072540283203,27.327206974020882
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,400,1.0,0.00030242191860452294,0.0,3.8964712619781494,27.47856389307028
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,420,1.0,0.000247359013883397,0.0,3.9543840885162354,27.627186077209686
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,440,1.0,0.00020198323181830347,0.0,4.01084566116333,27.775181429113395
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,460,1.0,0.00016587502614129335,0.0,4.064190864562988,27.91815987917959
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,480,1.0,0.00013590748130809516,0.0,4.117549419403076,28.06377370776723
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,500,1.0,0.00011146965698571876,0.0,4.171536445617676,28.207619705119335
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",22,520,1.0,9.15752534638159e-05,0.0,4.226067543029785,28.34994056816213
