seed_id,n,mean,sample_std
S000,50,0.008660172352,1.088807651139
S001,50,0.009623304002,1.002538141359
S002,50,0.209282685728,0.882646016815
S003,50,0.513813839233,1.134580344272
S004,50,0.205730212106,1.101636016664
S005,50,0.695515169413,1.160405102354
S006,50,0.804000728463,1.099923800371
S007,50,0.746224816643,1.229609316478
S008,50,0.677527918204,1.145635603982
S009,50,0.897635096630,1.082790988480
S010,50,1.347459160024,1.022240476799
S011,50,1.051040630658,1.227296585913
S012,50,1.286957408300,1.220282189073
S013,50,1.371236404368,1.332878753303
S014,50,1.581199417084,1.313334877247
S015,50,1.431203472219,1.223537951291
S016,50,1.539510475182,1.253877480441
S017,50,1.420929412156,1.192468217806
S018,50,1.934757309657,1.172592886504
S019,50,1.871357899097,1.376033010632
