seed_id,n,mean,sample_std
S000,50,-0.103589285859,0.872577553837
S001,50,0.104396524399,0.963003531724
S002,50,-0.044747732316,1.073657466546
S003,50,0.327312224364,1.069008150840
S004,50,0.334843821665,0.811343209428
S005,50,0.556104472536,1.122797819983
S006,50,0.653858660469,1.008897670670
S007,50,0.775482592852,1.080047932729
S008,50,0.657130037829,1.066076623438
S009,50,1.391263350882,1.269851093830
S010,50,0.895443666812,1.089810543139
S011,50,1.049538385106,1.269184098169
S012,50,1.115964202859,1.284268011976
S013,50,1.189424136918,1.099595756387
S014,50,1.673652148933,1.478456469678
S015,50,1.619592582412,1.277514794592
S016,50,1.362002377512,1.453445821212
S017,50,1.702994211055,1.274905091090
S018,50,1.916664979482,1.302168885619
S019,50,1.880028526805,1.212131780433
