dataset_id,permutation_id,rule,selected_config_id,selected_configuration,optimizer_label,final_120_split_estimate
0,0,total_order,0,C00,optimizer-A,0.547472222222222
0,0,first_encountered,1,C01,optimizer-A,0.5628333333333335
0,1,total_order,0,C00,optimizer-A,0.547472222222222
0,1,first_encountered,0,C00,optimizer-A,0.547472222222222
0,2,total_order,0,C00,optimizer-A,0.547472222222222
0,2,first_encountered,0,C00,optimizer-A,0.547472222222222
0,3,total_order,0,C00,optimizer-A,0.547472222222222
0,3,first_encountered,0,C00,optimizer-A,0.547472222222222
0,4,total_order,0,C00,optimizer-A,0.547472222222222
0,4,first_encountered,7,C07,optimizer-B,0.621222222222222
0,5,total_order,0,C00,optimizer-A,0.547472222222222
0,5,first_encountered,0,C00,optimizer-A,0.547472222222222
0,6,total_order,0,C00,optimizer-A,0.547472222222222
0,6,first_encountered,6,C06,optimizer-B,0.610027777777778
0,7,total_order,0,C00,optimizer-A,0.547472222222222
0,7,first_encountered,1,C01,optimizer-A,0.5628333333333335
0,8,total_order,0,C00,optimizer-A,0.547472222222222
0,8,first_encountered,1,C01,optimizer-A,0.5628333333333335
0,9,total_order,0,C00,optimizer-A,0.547472222222222
0,9,first_encountered,0,C00,optimizer-A,0.547472222222222
0,10,total_order,0,C00,optimizer-A,0.547472222222222
0,10,first_encountered,7,C07,optimizer-B,0.621222222222222
0,11,total_order,0,C00,optimizer-A,0.547472222222222
0,11,first_encountered,1,C01,optimizer-A,0.5628333333333335
0,12,total_order,0,C00,optimizer-A,0.547472222222222
0,12,first_encountered,6,C06,optimizer-B,0.610027777777778
0,13,total_order,0,C00,optimizer-A,0.547472222222222
0,13,first_encountered,1,C01,optimizer-A,0.5628333333333335
0,14,total_order,0,C00,optimizer-A,0.547472222222222
0,14,first_encountered,1,C01,optimizer-A,0.5628333333333335
0,15,total_order,0,C00,optimizer-A,0.547472222222222
0,15,first_encountered,0,C00,optimizer-A,0.547472222222222
0,16,total_order,0,C00,optimizer-A,0.547472222222222
0,16,first_encountered,7,C07,optimizer-B,0.621222222222222
