seed_id,n,mean,sample_std
S000,50,0.022587204462,1.126526313715
S001,50,0.150143310112,1.036590521815
S002,50,0.271472220206,0.873313594459
S003,50,0.259017534418,1.118227366585
S004,50,0.228523849861,1.164141063731
S005,50,0.618304174153,1.042043834950
S006,50,0.504943971743,1.168874166159
S007,50,0.279616156741,1.255541314085
S008,50,0.648239743635,1.193206218815
S009,50,0.884000635358,1.128094635949
S010,50,1.116435256387,1.437063638221
S011,50,1.212517966396,1.123530853568
S012,50,1.334107339631,1.137142155364
S013,50,1.119099253402,1.280745126064
S014,50,1.302906909425,1.593702693510
S015,50,1.404920302835,1.469555160006
S016,50,1.830297738225,1.043231951601
S017,50,1.626174644034,1.365843434524
S018,50,1.612171866086,1.600386912600
S019,50,1.783624756213,1.270088944144
