row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.137666218510
0,S000,sample_std,0.958302567694
1,S001,n,50
1,S001,mean,-0.052987778359
1,S001,sample_std,1.066624570695
2,S002,n,50
2,S002,mean,0.024134923952
2,S002,sample_std,1.018980603552
3,S003,n,50
3,S003,mean,0.339354050994
3,S003,sample_std,1.064124287092
4,S004,n,50
4,S004,mean,0.364969901293
4,S004,sample_std,1.172349297729
5,S005,n,50
5,S005,mean,0.626148625212
5,S005,sample_std,1.244210271575
6,S006,n,50
6,S006,mean,0.613324906694
6,S006,sample_std,0.981139959430
7,S007,n,50
7,S007,mean,0.449466414648
7,S007,sample_std,1.139312962934
8,S008,n,50
8,S008,mean,1.105943125329
8,S008,sample_std,1.150219236037
9,S009,n,50
9,S009,mean,1.175441460736
9,S009,sample_std,1.310787442231
10,S010,n,50
10,S010,mean,1.168728756775
10,S010,sample_std,1.277053515909
11,S011,n,50
11,S011,mean,1.409554785249
11,S011,sample_std,1.117989292192
12,S012,n,50
12,S012,mean,1.133363111872
12,S012,sample_std,1.361700852263
13,S013,n,50
13,S013,mean,1.014036472587
13,S013,sample_std,0.987759703840
14,S014,n,50
14,S014,mean,1.775278532645
14,S014,sample_std,1.095080027457
15,S015,n,50
15,S015,mean,1.409533050344
15,S015,sample_std,1.287574511902
16,S016,n,50
16,S016,mean,1.564841793777
16,S016,sample_std,1.322717714098
17,S017,n,50
17,S017,mean,1.698168900999
17,S017,sample_std,1.601950069726
18,S018,n,50
18,S018,mean,1.627593502529
18,S018,sample_std,1.209615211486
19,S019,n,50
19,S019,mean,1.739717061576
19,S019,sample_std,1.362261832644
