row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.090358723552
0,S000,sample_std,0.903666967637
1,S001,n,50
1,S001,mean,-0.178100899132
1,S001,sample_std,1.213821798275
2,S002,n,50
2,S002,mean,0.336588805920
2,S002,sample_std,1.045767267761
3,S003,n,50
3,S003,mean,0.299153857928
3,S003,sample_std,1.089553228598
4,S004,n,50
4,S004,mean,0.283963254976
4,S004,sample_std,0.851682005998
5,S005,n,50
5,S005,mean,0.550024572010
5,S005,sample_std,1.030172442574
6,S006,n,50
6,S006,mean,0.685309578704
6,S006,sample_std,0.856499261350
7,S007,n,50
7,S007,mean,0.868615239636
7,S007,sample_std,1.148602323251
8,S008,n,50
8,S008,mean,0.683877782050
8,S008,sample_std,1.329046378748
9,S009,n,50
9,S009,mean,1.069733449107
9,S009,sample_std,1.262328645593
10,S010,n,50
10,S010,mean,1.229302646802
10,S010,sample_std,1.399015752642
11,S011,n,50
11,S011,mean,1.058345491060
11,S011,sample_std,1.084811211821
12,S012,n,50
12,S012,mean,1.363969112861
12,S012,sample_std,1.077221707590
13,S013,n,50
13,S013,mean,1.348915047286
13,S013,sample_std,1.338344824672
14,S014,n,50
14,S014,mean,1.385390945372
14,S014,sample_std,1.422901167790
15,S015,n,50
15,S015,mean,1.154385118804
15,S015,sample_std,1.365957543712
16,S016,n,50
16,S016,mean,1.670841642490
16,S016,sample_std,1.306639909428
17,S017,n,50
17,S017,mean,1.907432444461
17,S017,sample_std,1.377996936252
18,S018,n,50
18,S018,mean,2.235367350426
18,S018,sample_std,1.460045899377
19,S019,n,50
19,S019,mean,1.849830618942
19,S019,sample_std,1.342296880892
