row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.024689696353
0,S000,sample_std,0.969889599947
1,S001,n,50
1,S001,mean,0.186906148415
1,S001,sample_std,1.142138706495
2,S002,n,50
2,S002,mean,0.106276821574
2,S002,sample_std,0.946399019731
3,S003,n,50
3,S003,mean,0.126729919744
3,S003,sample_std,1.112097984414
4,S004,n,50
4,S004,mean,0.778660760256
4,S004,sample_std,1.077514996739
5,S005,n,50
5,S005,mean,0.522594985751
5,S005,sample_std,1.041433134121
6,S006,n,50
6,S006,mean,0.483039381399
6,S006,sample_std,1.022259138649
7,S007,n,50
7,S007,mean,0.381425090519
7,S007,sample_std,1.149119402378
8,S008,n,50
8,S008,mean,0.888403791782
8,S008,sample_std,1.113130344598
9,S009,n,50
9,S009,mean,0.776641526027
9,S009,sample_std,1.105560481476
10,S010,n,50
10,S010,mean,1.039491536003
10,S010,sample_std,1.100806863004
11,S011,n,50
11,S011,mean,1.286416877830
11,S011,sample_std,1.218908561206
12,S012,n,50
12,S012,mean,1.429881906625
12,S012,sample_std,1.167026238132
13,S013,n,50
13,S013,mean,1.217634167731
13,S013,sample_std,1.367779775709
14,S014,n,50
14,S014,mean,1.614082321271
14,S014,sample_std,1.126056929681
15,S015,n,50
15,S015,mean,1.737151258969
15,S015,sample_std,1.353562215086
16,S016,n,50
16,S016,mean,1.346392320402
16,S016,sample_std,1.142686748952
17,S017,n,50
17,S017,mean,1.845254712427
17,S017,sample_std,1.371930739212
18,S018,n,50
18,S018,mean,1.782097237273
18,S018,sample_std,1.373672781392
19,S019,n,50
19,S019,mean,1.693044447993
19,S019,sample_std,1.334716034716
