seed_id,n,mean,sample_std
S000,50,0.037564018589,1.118110804206
S001,50,0.049226038201,1.076265344917
S002,50,0.308055797957,0.947372562596
S003,50,0.488049049431,1.130631582053
S004,50,0.408996091971,0.981659427178
S005,50,0.650484001639,1.062163088628
S006,50,0.772365057592,1.123685531224
S007,50,0.728668364018,1.323892708746
S008,50,1.188329071302,1.014175738030
S009,50,1.004408878753,1.282494984791
S010,50,0.851925268165,1.331350005034
S011,50,1.161284232249,1.296330918012
S012,50,1.384844160505,1.149130466410
S013,50,1.182067517583,1.121723755193
S014,50,1.584586670059,1.092230693547
S015,50,1.745996392623,1.138971089021
S016,50,1.902147027453,1.228653293241
S017,50,1.343952542858,1.171089261272
S018,50,2.371780662036,1.252053835487
S019,50,2.023117312705,1.190914116515
