seed_id,n,mean,sample_std
S000,50,-0.218747942151,0.879709158964
S001,50,0.243759459901,1.266235946950
S002,50,0.137496883273,0.900817586369
S003,50,0.235438563992,1.116545560213
S004,50,0.599356424123,0.923546828063
S005,50,0.403554526257,1.083413886811
S006,50,0.311579359708,0.864493755360
S007,50,0.411767476054,1.212824707326
S008,50,1.113939571438,1.286013544582
S009,50,0.759098778282,1.108747511555
S010,50,0.998859731822,1.077927791290
S011,50,1.071466209164,1.249037849207
S012,50,1.122520439408,1.180722269437
S013,50,1.497309298959,1.123831819821
S014,50,1.489205111093,1.090238711166
S015,50,1.524917538801,1.214759438005
S016,50,1.496578505829,1.265444069542
S017,50,1.807330531697,1.105833775681
S018,50,1.677180092751,1.258627696649
S019,50,1.501667431052,1.284096048815
