candidate_index,cutoff,x_threshold,population_accuracy,deficit_from_population_optimum,quadrature_lower_error_estimate,quadrature_upper_error_estimate
0,0.300000000000000,-0.847297860387204,0.582992644673306,0.078100844098474,0.000000000000076,0.000000000000119
1,0.340000000000000,-0.663294217410264,0.610331760860665,0.050761727911115,0.000000000000755,0.000000000000591
2,0.380000000000000,-0.489548225318706,0.633137585238468,0.027955903533312,0.000000000000152,0.000000000000032
3,0.420000000000000,-0.322773392263051,0.649142066697933,0.011951422073847,0.000000000000185,0.000000000000021
4,0.460000000000000,-0.160342650075180,0.658238082340468,0.002855406431313,0.000000000000013,0.000000000000015
5,0.500000000000000,0.000000000000000,0.661093488771780,0.000000000000000,0.000000000000283,0.000000000000010
6,0.540000000000000,0.160342650075179,0.658492957972942,0.002600530798838,0.000000000000061,0.000000000000007
7,0.580000000000000,0.322773392263051,0.651161980607616,0.009931508164164,0.000000000000063,0.000000000000976
8,0.620000000000000,0.489548225318706,0.639756138223520,0.021337350548261,0.000000000000459,0.000000000000608
9,0.660000000000000,0.663294217410264,0.624884648610795,0.036208840160985,0.000000000000523,0.000000000000266
10,0.700000000000000,0.847297860387203,0.607138504519437,0.053954984252343,0.000000000000084,0.000000000000664
