seed_id,n,mean,sample_std
S000,50,-0.108289223004,1.137964355272
S001,50,0.028109416897,1.052803526751
S002,50,-0.138827524294,0.966976956134
S003,50,0.121051018721,1.151760997619
S004,50,0.577078080674,1.014300705240
S005,50,0.460380256541,1.105649958947
S006,50,0.623368894832,1.053310406265
S007,50,0.667605653496,1.240796365345
S008,50,0.709582803056,1.223233482988
S009,50,1.066612594369,1.095840903129
S010,50,0.940655146933,1.288065731388
S011,50,0.806321251266,1.135864521066
S012,50,1.290206033851,1.190044200262
S013,50,0.991503446154,1.384143631199
S014,50,1.414365489258,1.181605675579
S015,50,1.575804460321,1.078526596565
S016,50,1.606007030113,1.336151905869
S017,50,1.916767856892,1.470663024683
S018,50,1.923472198059,1.123644541808
S019,50,1.580311200481,1.248138152759
