row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.108289223004
0,S000,sample_std,1.137964355272
1,S001,n,50
1,S001,mean,0.028109416897
1,S001,sample_std,1.052803526751
2,S002,n,50
2,S002,mean,-0.138827524294
2,S002,sample_std,0.966976956134
3,S003,n,50
3,S003,mean,0.121051018721
3,S003,sample_std,1.151760997619
4,S004,n,50
4,S004,mean,0.577078080674
4,S004,sample_std,1.014300705240
5,S005,n,50
5,S005,mean,0.460380256541
5,S005,sample_std,1.105649958947
6,S006,n,50
6,S006,mean,0.623368894832
6,S006,sample_std,1.053310406265
7,S007,n,50
7,S007,mean,0.667605653496
7,S007,sample_std,1.240796365345
8,S008,n,50
8,S008,mean,0.709582803056
8,S008,sample_std,1.223233482988
9,S009,n,50
9,S009,mean,1.066612594369
9,S009,sample_std,1.095840903129
10,S010,n,50
10,S010,mean,0.940655146933
10,S010,sample_std,1.288065731388
11,S011,n,50
11,S011,mean,0.806321251266
11,S011,sample_std,1.135864521066
12,S012,n,50
12,S012,mean,1.290206033851
12,S012,sample_std,1.190044200262
13,S013,n,50
13,S013,mean,0.991503446154
13,S013,sample_std,1.384143631199
14,S014,n,50
14,S014,mean,1.414365489258
14,S014,sample_std,1.181605675579
15,S015,n,50
15,S015,mean,1.575804460321
15,S015,sample_std,1.078526596565
16,S016,n,50
16,S016,mean,1.606007030113
16,S016,sample_std,1.336151905869
17,S017,n,50
17,S017,mean,1.916767856892
17,S017,sample_std,1.470663024683
18,S018,n,50
18,S018,mean,1.923472198059
18,S018,sample_std,1.123644541808
19,S019,n,50
19,S019,mean,1.580311200481
19,S019,sample_std,1.248138152759
