row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.168052115546
0,S000,sample_std,0.842617629579
1,S001,n,50
1,S001,mean,0.318547375366
1,S001,sample_std,1.032071765164
2,S002,n,50
2,S002,mean,0.154641674921
2,S002,sample_std,1.057788447955
3,S003,n,50
3,S003,mean,0.605073030584
3,S003,sample_std,0.975819614015
4,S004,n,50
4,S004,mean,0.397896131784
4,S004,sample_std,1.214430371249
5,S005,n,50
5,S005,mean,0.515733532612
5,S005,sample_std,1.089109908650
6,S006,n,50
6,S006,mean,0.722461739717
6,S006,sample_std,1.385074834360
7,S007,n,50
7,S007,mean,0.829361394303
7,S007,sample_std,1.119246302674
8,S008,n,50
8,S008,mean,1.047840722194
8,S008,sample_std,1.144401523850
9,S009,n,50
9,S009,mean,0.785199831457
9,S009,sample_std,1.102594856518
10,S010,n,50
10,S010,mean,0.967324210596
10,S010,sample_std,1.363873255826
11,S011,n,50
11,S011,mean,0.906589829292
11,S011,sample_std,1.147468026129
12,S012,n,50
12,S012,mean,0.870021480747
12,S012,sample_std,1.287568357498
13,S013,n,50
13,S013,mean,1.269142489910
13,S013,sample_std,1.345238362301
14,S014,n,50
14,S014,mean,1.002049127546
14,S014,sample_std,1.468375665410
15,S015,n,50
15,S015,mean,1.622546677067
15,S015,sample_std,1.327418069930
16,S016,n,50
16,S016,mean,2.083298432392
16,S016,sample_std,1.207668255852
17,S017,n,50
17,S017,mean,1.430164949017
17,S017,sample_std,1.210436677505
18,S018,n,50
18,S018,mean,2.054017917348
18,S018,sample_std,1.311624215318
19,S019,n,50
19,S019,mean,1.932481300556
19,S019,sample_std,1.284290302691
