seed_id,n,mean,sample_std
S000,50,0.022600211938,1.034050843068
S001,50,0.156197029964,0.992514125340
S002,50,0.823413754563,0.978750814760
S003,50,0.019861454090,1.108039111103
S004,50,0.139099078072,1.038378106720
S005,50,0.668668934469,1.193780414393
S006,50,0.731810708082,1.311253753668
S007,50,1.057346945055,1.204709494192
S008,50,0.871795984000,1.119551070040
S009,50,1.250277757396,1.182010279837
S010,50,1.172528198103,1.183401757428
S011,50,1.259498975886,1.228966724338
S012,50,1.276398546052,1.129244756700
S013,50,1.189513545719,1.382173365763
S014,50,1.255283062543,1.298804522087
S015,50,1.613239682068,1.229990548047
S016,50,1.966215502446,1.222611647908
S017,50,2.008620283016,1.315171942939
S018,50,1.989147951766,1.541730061116
S019,50,1.715556932156,1.268723644379
