row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.065617301725
0,S000,sample_std,1.021499167618
1,S001,n,50
1,S001,mean,-0.111298499348
1,S001,sample_std,1.040233914492
2,S002,n,50
2,S002,mean,0.291318598369
2,S002,sample_std,0.952479745443
3,S003,n,50
3,S003,mean,0.414571030938
3,S003,sample_std,1.054208843158
4,S004,n,50
4,S004,mean,0.259689872558
4,S004,sample_std,1.103962344860
5,S005,n,50
5,S005,mean,0.517722255651
5,S005,sample_std,1.170180939704
6,S006,n,50
6,S006,mean,0.940668550680
6,S006,sample_std,1.078974398560
7,S007,n,50
7,S007,mean,0.465770226682
7,S007,sample_std,1.034829391490
8,S008,n,50
8,S008,mean,0.918494913272
8,S008,sample_std,0.995732832344
9,S009,n,50
9,S009,mean,0.850129089949
9,S009,sample_std,1.388710384730
10,S010,n,50
10,S010,mean,0.796385256763
10,S010,sample_std,1.315041964454
11,S011,n,50
11,S011,mean,1.166239011023
11,S011,sample_std,1.345563310118
12,S012,n,50
12,S012,mean,1.226092692900
12,S012,sample_std,1.093012951907
13,S013,n,50
13,S013,mean,1.148565912530
13,S013,sample_std,1.212973100975
14,S014,n,50
14,S014,mean,1.820979168654
14,S014,sample_std,1.148135997630
15,S015,n,50
15,S015,mean,1.299660416000
15,S015,sample_std,1.396562781550
16,S016,n,50
16,S016,mean,2.102195116369
16,S016,sample_std,1.408439523083
17,S017,n,50
17,S017,mean,1.653270951069
17,S017,sample_std,1.303824984921
18,S018,n,50
18,S018,mean,1.372472302489
18,S018,sample_std,1.158835042863
19,S019,n,50
19,S019,mean,1.701811235313
19,S019,sample_std,1.419633247110
