seed_id,n,mean,sample_std
S000,50,-0.065617301725,1.021499167618
S001,50,-0.111298499348,1.040233914492
S002,50,0.291318598369,0.952479745443
S003,50,0.414571030938,1.054208843158
S004,50,0.259689872558,1.103962344860
S005,50,0.517722255651,1.170180939704
S006,50,0.940668550680,1.078974398560
S007,50,0.465770226682,1.034829391490
S008,50,0.918494913272,0.995732832344
S009,50,0.850129089949,1.388710384730
S010,50,0.796385256763,1.315041964454
S011,50,1.166239011023,1.345563310118
S012,50,1.226092692900,1.093012951907
S013,50,1.148565912530,1.212973100975
S014,50,1.820979168654,1.148135997630
S015,50,1.299660416000,1.396562781550
S016,50,2.102195116369,1.408439523083
S017,50,1.653270951069,1.303824984921
S018,50,1.372472302489,1.158835042863
S019,50,1.701811235313,1.419633247110
