row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,0.143342830560
0,S000,sample_std,0.993789703113
1,S001,n,50
1,S001,mean,0.245709281236
1,S001,sample_std,0.898388681879
2,S002,n,50
2,S002,mean,0.081151562205
2,S002,sample_std,1.141760319482
3,S003,n,50
3,S003,mean,0.093549605895
3,S003,sample_std,1.028050256059
4,S004,n,50
4,S004,mean,0.203667616213
4,S004,sample_std,0.946990237399
5,S005,n,50
5,S005,mean,0.459181535045
5,S005,sample_std,1.095792864588
6,S006,n,50
6,S006,mean,0.920251004379
6,S006,sample_std,1.155067442321
7,S007,n,50
7,S007,mean,0.736298280531
7,S007,sample_std,1.087223537018
8,S008,n,50
8,S008,mean,0.783063051573
8,S008,sample_std,1.211000179463
9,S009,n,50
9,S009,mean,0.872744177123
9,S009,sample_std,1.131986212138
10,S010,n,50
10,S010,mean,0.960269376647
10,S010,sample_std,1.361081996309
11,S011,n,50
11,S011,mean,0.980678651553
11,S011,sample_std,1.320733162186
12,S012,n,50
12,S012,mean,1.485901764173
12,S012,sample_std,1.206452951065
13,S013,n,50
13,S013,mean,1.113962774071
13,S013,sample_std,1.088553046559
14,S014,n,50
14,S014,mean,1.455842411128
14,S014,sample_std,1.256001645065
15,S015,n,50
15,S015,mean,1.758383177778
15,S015,sample_std,1.314729159796
16,S016,n,50
16,S016,mean,1.612317170387
16,S016,sample_std,1.500566807715
17,S017,n,50
17,S017,mean,1.558652980890
17,S017,sample_std,1.529570452056
18,S018,n,50
18,S018,mean,1.673056933567
18,S018,sample_std,1.431589566133
19,S019,n,50
19,S019,mean,2.204019208635
19,S019,sample_std,1.512372401466
