row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,-0.066022778963
0,S000,sample_std,0.969563408817
1,S001,n,50
1,S001,mean,-0.189559427560
1,S001,sample_std,1.089331661904
2,S002,n,50
2,S002,mean,0.381977452988
2,S002,sample_std,0.981140599643
3,S003,n,50
3,S003,mean,0.226464220488
3,S003,sample_std,1.134425738927
4,S004,n,50
4,S004,mean,0.501894237874
4,S004,sample_std,1.186324943911
5,S005,n,50
5,S005,mean,0.304772586755
5,S005,sample_std,1.055194769958
6,S006,n,50
6,S006,mean,0.470513582292
6,S006,sample_std,0.981318558463
7,S007,n,50
7,S007,mean,0.739756530083
7,S007,sample_std,0.950991686128
8,S008,n,50
8,S008,mean,0.916350197173
8,S008,sample_std,1.161226915235
9,S009,n,50
9,S009,mean,1.037247758744
9,S009,sample_std,1.200386672048
10,S010,n,50
10,S010,mean,0.881932310469
10,S010,sample_std,1.020042059315
11,S011,n,50
11,S011,mean,1.148491513482
11,S011,sample_std,1.318782954115
12,S012,n,50
12,S012,mean,1.261472930298
12,S012,sample_std,1.395903512946
13,S013,n,50
13,S013,mean,1.486070898139
13,S013,sample_std,1.317768800650
14,S014,n,50
14,S014,mean,1.507275735641
14,S014,sample_std,1.435660183817
15,S015,n,50
15,S015,mean,1.525816924575
15,S015,sample_std,1.379897800245
16,S016,n,50
16,S016,mean,1.349732338157
16,S016,sample_std,1.285769504494
17,S017,n,50
17,S017,mean,1.812530917891
17,S017,sample_std,1.506248162699
18,S018,n,50
18,S018,mean,2.217190977716
18,S018,sample_std,1.237876965276
19,S019,n,50
19,S019,mean,1.777720412688
19,S019,sample_std,1.325098443379
