seed_id,n,mean,sample_std
S000,50,-0.066022778963,0.969563408817
S001,50,-0.189559427560,1.089331661904
S002,50,0.381977452988,0.981140599643
S003,50,0.226464220488,1.134425738927
S004,50,0.501894237874,1.186324943911
S005,50,0.304772586755,1.055194769958
S006,50,0.470513582292,0.981318558463
S007,50,0.739756530083,0.950991686128
S008,50,0.916350197173,1.161226915235
S009,50,1.037247758744,1.200386672048
S010,50,0.881932310469,1.020042059315
S011,50,1.148491513482,1.318782954115
S012,50,1.261472930298,1.395903512946
S013,50,1.486070898139,1.317768800650
S014,50,1.507275735641,1.435660183817
S015,50,1.525816924575,1.379897800245
S016,50,1.349732338157,1.285769504494
S017,50,1.812530917891,1.506248162699
S018,50,2.217190977716,1.237876965276
S019,50,1.777720412688,1.325098443379
